Month,Value
2007-01-01,5248.3570765056165
2007-02-01,6506.244733836518
2007-03-01,8072.674249247883
2007-04-01,8987.645581470346
2007-05-01,7782.50706168009
2007-06-01,6759.815943635963
2007-07-01,6241.867714286359
2007-08-01,4411.355555531229
2007-09-01,2770.2016710560933
2007-10-01,2949.671981591978
2007-11-01,2923.9837864615583
2007-12-01,4096.280851858086
2008-01-01,6025.503748848342
2008-02-01,6523.259375158537
2008-03-01,7790.893677006346
2008-04-01,8849.50950171117
2008-05-01,8297.690801939874
2008-06-01,7938.530701473515
2008-07-01,5902.771881837386
2008-08-01,4226.008953352458
2008-09-01,4642.2858615496725
2008-10-01,3470.026422621054
2008-11-01,4093.9793482770765
2008-12-01,4521.294248601809
2009-01-01,6536.853863868059
2009-02-01,8439.883405407698
2009-03-01,8982.37841761704
2009-04-01,10223.024888569822
2009-05-01,9408.30963021301
2009-06-01,8540.082773344568
2009-07-01,6960.453226548626
2009-08-01,6762.8225093399
2009-09-01,4807.235477785258
2009-10-01,3958.581721451698
2009-11-01,5376.010315050038
2009-12-01,5527.7691297883575
2010-01-01,7817.999636698356
2010-02-01,8309.1096616782
2010-03-01,9798.304794944299
2010-04-01,11038.129110396874
2010-05-01,10982.384878235443
2010-06-01,9676.136401901527
2010-07-01,8108.005004534526
2010-08-01,6590.654182356113
2010-09-01,4979.245708035837
2010-10-01,5032.03769479762
2010-11-01,5638.941086583871
2010-12-01,7571.274680948654
2011-01-01,8789.899597045533
2011-02-01,9311.947259002047
2011-03-01,11528.962417156245
2011-04-01,11651.67996531948
2011-05-01,11179.213201150085
2011-06-01,10800.813018792294
2011-07-01,9585.851520041948
2011-08-01,8111.368702774174
2011-09-01,6203.420554673558
2011-10-01,6141.876224134693
2011-11-01,6939.414800830878
2011-12-01,8435.0087444657
2012-01-01,9283.025946403974
2012-02-01,11005.160461416828
2012-03-01,11718.275558521153
2012-04-01,12150.64040655263
2012-05-01,12828.459725565495
2012-06-01,12077.6175017226
2012-07-01,9938.869311069122
2012-08-01,9052.017705227425
2012-09-01,7708.369941874016
2012-10-01,6878.445147823067
2012-11-01,7859.003500948628
2012-12-01,9620.777077202842
2013-01-01,10409.222658836981
2013-02-01,12784.834390721058
2013-03-01,11866.09310654462
2013-04-01,14064.217583845902
2013-05-01,13370.242961552809
2013-06-01,12154.516425269581
2013-07-01,10925.27737319239
2013-08-01,8460.989412046292
2013-09-01,8322.238598496773
2013-10-01,8284.083923946826
2013-11-01,9321.775333630496
2013-12-01,9497.146297898358
2014-01-01,10927.411490010687
2014-02-01,12656.156654087132
2014-03-01,14538.189330505855
2014-04-01,14722.164499553459
2014-05-01,13966.36193861553
2014-06-01,13465.176430124522
2014-07-01,11832.458372663963
2014-08-01,10843.618977678512
2014-09-01,8985.570608542188
2014-10-01,8846.219177957397
2014-11-01,9291.296847758997
2014-12-01,9929.04654603445
2015-01-01,12384.241043054895
2015-02-01,13942.085425034651
2015-03-01,14987.567613041376
2015-04-01,15345.017991101371
2015-05-01,14428.079282539162
2015-06-01,13902.74266525049
2015-07-01,12517.084952791909
2015-08-01,10862.680460866583
2015-09-01,10160.476912713177
2015-10-01,10116.598292728877
2015-11-01,11334.966487995667
2015-12-01,11652.615539581735
2016-01-01,13269.478712949314
2016-02-01,14678.85744412695
2016-03-01,14930.14789013596
2016-04-01,16353.577233129661
2016-05-01,16070.402371600218
2016-06-01,16249.208995941139
2016-07-01,13496.784341730061
2016-08-01,12319.115379709508
2016-09-01,11128.286496758887
2016-10-01,10234.756458577169
2016-11-01,11867.807557713237
2016-12-01,12845.815762574528
2017-01-01,14440.74210417476
2017-02-01,15165.909287678009
2017-03-01,17495.453266318847
2017-04-01,16570.431252523456
2017-05-01,17238.238426595166
2017-06-01,17017.338365668813
2017-07-01,14002.219274620582
2017-08-01,12789.715456806643
2017-09-01,12099.990677220665
2017-10-01,11471.880263394161
2017-11-01,11425.587047987987
2017-12-01,13408.653346699499
2018-01-01,14418.596886855552
2018-02-01,16761.921843458276
2018-03-01,17238.866606799224
2018-04-01,18950.846599493696
2018-05-01,17457.70584659223
2018-06-01,16665.602407726292
2018-07-01,15808.768658936111
2018-08-01,13361.954776456398
2018-09-01,13068.417575044226
2018-10-01,13281.712080658801
2018-11-01,12301.699759305777
2018-12-01,14371.211401627945
2019-01-01,15984.212753908123
2019-02-01,17820.559677094683
2019-03-01,17984.6259815424
2019-04-01,18420.173703508113
2019-05-01,19014.825888634135
2019-06-01,17879.64811551107
2019-07-01,16431.77908848952
2019-08-01,15055.133652487208
2019-09-01,13519.197860018254
2019-10-01,13648.790165163413
2019-11-01,14156.500226301046
2019-12-01,14826.241376413955
2020-01-01,17691.6812254216
2020-02-01,18571.087314727232
2020-03-01,18911.97220144545
2020-04-01,20313.201427432494
2020-05-01,19171.036883777342
2020-06-01,19029.22069383105
2020-07-01,17790.353065885633
